Native node type, Number of occurrences, Percentage of native, Leafs
ScalaNativeKind(class scala.meta.Term$Select$TermSelectImpl),364555, 26.83657409384096%, false
ScalaNativeKind(class scala.meta.Term$Apply$TermApplyImpl),289350, 21.300387360077032%, false
ScalaNativeKind(class scala.meta.Term$ApplyInfix$TermApplyInfixImpl),60078, 4.42261853056405%, false
ScalaNativeKind(class scala.meta.Type$Apply$TypeApplyImpl),59742, 4.397884021654474%, false
ScalaNativeKind(class scala.meta.Term$Param$TermParamImpl),51777, 3.811543654199787%, false
ScalaNativeKind(class scala.meta.Pat$Var$PatVarImpl),49616, 3.6524624823140903%, false
ScalaNativeKind(class scala.meta.Name$Indeterminate$NameIndeterminateImpl),41976, 3.09004686306063%, true
ScalaNativeKind(class scala.meta.Init$InitImpl),39811, 2.9306712327355338%, false
ScalaNativeKind(class scala.meta.Importee$Name$ImporteeNameImpl),37976, 2.7955884236609134%, false
ScalaNativeKind(class scala.meta.Importer$ImporterImpl),35852, 2.6392309923396637%, false
ScalaNativeKind(class scala.meta.Defn$Val$DefnValImpl),26344, 1.9393032818865361%, false
ScalaNativeKind(class scala.meta.Template$TemplateImpl),20973, 1.5439192123825662%, true
ScalaNativeKind(class scala.meta.Term$ApplyType$TermApplyTypeImpl),18557, 1.3660663149851373%, false
ScalaNativeKind(class scala.meta.Term$Function$TermFunctionImpl),16204, 1.1928511380082536%, false
ScalaNativeKind(class scala.meta.Term$New$TermNewImpl),16103, 1.185416062413411%, false
ScalaNativeKind(class scala.meta.Term$Assign$TermAssignImpl),16085, 1.1840909994361122%, false
ScalaNativeKind(class scala.meta.Type$Param$TypeParamImpl),15701, 1.1558229892537393%, false
ScalaNativeKind(class scala.meta.Lit$String$LitStringImpl),14447, 1.063510268501928%, true
ScalaNativeKind(class scala.meta.Pat$Extract$PatExtractImpl),10106, 0.7439492471433851%, false
ScalaNativeKind(class scala.meta.Defn$Class$DefnClassImpl),10100, 0.7435075594842855%, false
ScalaNativeKind(class scala.meta.Term$Placeholder$TermPlaceholderImpl),9323, 0.6863090076308904%, true
ScalaNativeKind(class scala.meta.Case$CaseImpl),9170, 0.6750459723238513%, false
ScalaNativeKind(class scala.meta.Importee$Wildcard$ImporteeWildcardImpl),8919, 0.6565687052515191%, true
ScalaNativeKind(class scala.meta.Type$Select$TypeSelectImpl),8749, 0.6440542215770311%, false
ScalaNativeKind(class scala.meta.Mod$Override$ModOverrideImpl),8550, 0.6294049142168952%, true
ScalaNativeKind(class scala.meta.Term$Interpolate$TermInterpolateImpl),8289, 0.6101915010460636%, false
ScalaNativeKind(class scala.meta.Ctor$Primary$CtorPrimaryImpl),6648, 0.4893899262823297%, true
ScalaNativeKind(class scala.meta.Pat$Wildcard$PatWildcardImpl),5573, 0.4102542206936557%, true
ScalaNativeKind(class scala.meta.Defn$Object$DefnObjectImpl),5394, 0.3970772055305184%, false
ScalaNativeKind(class scala.meta.Type$Function$TypeFunctionImpl),4912, 0.3615949635828525%, false
ScalaNativeKind(class scala.meta.Mod$Implicit$ModImplicitImpl),4900, 0.3607115882646534%, true
ScalaNativeKind(class scala.meta.Name$Anonymous$NameAnonymousImpl),4804, 0.35364458571906016%, true
ScalaNativeKind(class scala.meta.Term$Tuple$TermTupleImpl),4772, 0.35128891820386243%, false
ScalaNativeKind(class scala.meta.Pat$Tuple$PatTupleImpl),4426, 0.3258182631957869%, false
ScalaNativeKind(class scala.meta.Term$PartialFunction$TermPartialFunctionImpl),4410, 0.324640429438188%, false
ScalaNativeKind(class scala.meta.Term$NewAnonymous$TermNewAnonymousImpl),4157, 0.30601593314615594%, false
ScalaNativeKind(class scala.meta.Mod$Case$ModCaseImpl),4063, 0.29909615982026255%, true
ScalaNativeKind(class scala.meta.Defn$Def$DefnDefImpl),3717, 0.27362550481218706%, false
ScalaNativeKind(class scala.meta.Term$This$TermThisImpl),3496, 0.25735667603535267%, true
ScalaNativeKind(class scala.meta.Type$Tuple$TypeTupleImpl),3383, 0.24903822512231066%, false
ScalaNativeKind(class scala.meta.Mod$Annot$ModAnnotImpl),3346, 0.24631448455786328%, false
ScalaNativeKind(class scala.meta.Pat$Typed$PatTypedImpl),3286, 0.24189760796686754%, false
ScalaNativeKind(class scala.meta.Enumerator$Generator$EnumeratorGeneratorImpl),2853, 0.2100224819018482%, false
ScalaNativeKind(class scala.meta.Decl$Def$DeclDefImpl),2707, 0.19927474886375848%, false
ScalaNativeKind(class scala.meta.Mod$Protected$ModProtectedImpl),2624, 0.19316473624621439%, true
ScalaNativeKind(class scala.meta.Defn$Trait$DefnTraitImpl),2494, 0.18359483696572357%, false
ScalaNativeKind(class scala.meta.Mod$Private$ModPrivateImpl),2148, 0.15812418195764805%, false
ScalaNativeKind(class scala.meta.Mod$ValParam$ModValParamImpl),1884, 0.13868992495726673%, true
ScalaNativeKind(class scala.meta.Defn$Var$DefnVarImpl),1712, 0.1260282120630789%, false
ScalaNativeKind(class scala.meta.Mod$Lazy$ModLazyImpl),1641, 0.12080157476373392%, true
ScalaNativeKind(class scala.meta.Mod$Final$ModFinalImpl),1565, 0.11520686441513928%, true
ScalaNativeKind(class scala.meta.Type$Placeholder$TypePlaceholderImpl),1499, 0.11034830016504395%, true
ScalaNativeKind(class scala.meta.Term$Throw$TermThrowImpl),1327, 0.09768658727085612%, false
ScalaNativeKind(class scala.meta.Type$Singleton$TypeSingletonImpl),1185, 0.08723331267216616%, false
ScalaNativeKind(class scala.meta.Type$Bounds$TypeBoundsImpl),954, 0.0702283377968325%, false
ScalaNativeKind(class scala.meta.Pat$ExtractInfix$PatExtractInfixImpl),900, 0.06625314886493633%, false
org.sonarsource.scala.converter.ScalaConverter$ScalaForConditionKind$@5c97c816,867, 0.06382386673988867%, false
ScalaNativeKind(class scala.meta.Term$ForYield$TermForYieldImpl),800, 0.0588916878799434%, false
ScalaNativeKind(class scala.meta.Term$Super$TermSuperImpl),739, 0.05440119667909772%, true
ScalaNativeKind(class scala.meta.Mod$Abstract$ModAbstractImpl),709, 0.052192758383599845%, true
ScalaNativeKind(class scala.meta.Mod$Sealed$ModSealedImpl),706, 0.05197191455405005%, true
ScalaNativeKind(class scala.meta.Defn$Type$DefnTypeImpl),702, 0.05167745611465034%, false
ScalaNativeKind(class scala.meta.Term$Repeated$TermRepeatedImpl),662, 0.048732871720653166%, false
ScalaNativeKind(class scala.meta.Importee$Rename$ImporteeRenameImpl),598, 0.04402153669025769%, false
ScalaNativeKind(class scala.meta.Type$ByName$TypeByNameImpl),577, 0.04247562988340918%, false
org.sonarsource.scala.converter.ScalaConverter$ScalaCatchBlockKind$@7c732cc2,566, 0.04166586917505996%, false
ScalaNativeKind(class scala.meta.Term$Match$TermMatchImpl),554, 0.04078249385686081%, false
ScalaNativeKind(class scala.meta.Pat$Bind$PatBindImpl),528, 0.03886851400076265%, false
ScalaNativeKind(class scala.meta.Type$Repeated$TypeRepeatedImpl),508, 0.03739622180376406%, false
ScalaNativeKind(class scala.meta.Type$ApplyInfix$TypeApplyInfixImpl),466, 0.03430440819006703%, false
ScalaNativeKind(class scala.meta.Decl$Val$DeclValImpl),442, 0.03253765755366873%, false
ScalaNativeKind(class scala.meta.Self$SelfImpl),412, 0.030329219258170854%, false
ScalaNativeKind(class scala.meta.Term$Eta$TermEtaImpl),384, 0.028268010182372832%, false
ScalaNativeKind(class scala.meta.Pat$Alternative$PatAlternativeImpl),384, 0.028268010182372832%, false
ScalaNativeKind(class scala.meta.Term$Ascribe$TermAscribeImpl),369, 0.027163791034623897%, false
ScalaNativeKind(class scala.meta.Type$With$TypeWithImpl),361, 0.026574874155824463%, false
ScalaNativeKind(class scala.meta.Ctor$Secondary$CtorSecondaryImpl),332, 0.02444005047017651%, false
ScalaNativeKind(class scala.meta.Term$ApplyUnary$TermApplyUnaryImpl),232, 0.017078589485183586%, false
ScalaNativeKind(class scala.meta.Enumerator$Val$EnumeratorValImpl),204, 0.015017380409385567%, false
ScalaNativeKind(class scala.meta.Pkg$Object$PkgObjectImpl),165, 0.012146410625238328%, false
ScalaNativeKind(class scala.meta.Pat$Interpolate$PatInterpolateImpl),148, 0.01089496225778953%, false
ScalaNativeKind(class scala.meta.Mod$Covariant$ModCovariantImpl),134, 0.009864357719890521%, true
ScalaNativeKind(class scala.meta.Decl$Type$DeclTypeImpl),111, 0.008171221693342147%, false
ScalaNativeKind(class scala.meta.Pat$SeqWildcard$PatSeqWildcardImpl),108, 0.00795037786379236%, true
ScalaNativeKind(class scala.meta.Enumerator$Guard$EnumeratorGuardImpl),103, 0.0075823048145427134%, false
ScalaNativeKind(class scala.meta.Importee$Unimport$ImporteeUnimportImpl),99, 0.007287846375142996%, false
ScalaNativeKind(class scala.meta.Type$Refine$TypeRefineImpl),82, 0.0060363980076941996%, false
ScalaNativeKind(class scala.meta.Mod$VarParam$ModVarParamImpl),66, 0.004858564250095331%, true
ScalaNativeKind(class scala.meta.Mod$Contravariant$ModContravariantImpl),60, 0.004416876590995756%, true
ScalaNativeKind(class scala.meta.Defn$Macro$DefnMacroImpl),33, 0.0024292821250476654%, false
ScalaNativeKind(class scala.meta.Type$Project$TypeProjectImpl),30, 0.002208438295497878%, false
ScalaNativeKind(class scala.meta.Term$Xml$TermXmlImpl),26, 0.0019139798560981608%, false
ScalaNativeKind(class scala.meta.Type$Annotate$TypeAnnotateImpl),12, 8.83375318199151E-4%, false
ScalaNativeKind(class scala.meta.Term$Annotate$TermAnnotateImpl),5, 3.6807304924964626E-4%, false
ScalaNativeKind(class scala.meta.Decl$Var$DeclVarImpl),5, 3.6807304924964626E-4%, false
ScalaNativeKind(class scala.meta.Type$Existential$TypeExistentialImpl),3, 2.2084382954978775E-4%, false
ScalaNativeKind(class scala.meta.Type$Var$TypeVarImpl),1, 7.361460984992925E-5%, false
